Pitcher,TaggedPitchType,RelSpeed,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,SpinAxis,SpinRate,VertApprAngle,HorzApprAngle,PitcherThrows,BatterSide
"Schorr, Ben",FourSeamFastBall,90.03930125,20.29830375,3.5983925,6.4322925,1.24632875,5.8508075,191.1370079,2246.865035,-5.26657475,-0.847669375,Right,Left
"Schorr, Ben",Sinker,85.314015,8.231165,-3.220435,6.387325000000001,1.217985,5.322515,154.6580525,2445.509081,-7.6732955,-2.522879,Right,Left
"Schorr, Ben",Slider,85.37398571428572,9.11355881,-5.28884,6.213004761904761,1.3477228571428572,5.404586666666667,145.1551211904762,2386.7223282857144,-7.109581524,-2.313998881,Right,Left
"Sofield, Drew",ChangeUp,82.83740999999999,5.721533529411765,-10.58622235,6.0022070588235295,-1.301722941,6.140564117647059,110.93389229411765,1689.636254235294,-8.156037824,0.3710318235294117,Left,Left
"Sofield, Drew",Cutter,86.16966094339624,12.960236603773586,1.6741896226415094,6.094398301886792,-1.295814528,5.8313313207547175,190.03061826415092,2212.8962824150944,-6.136732849,2.194512792,Left,Left
"Sofield, Drew",Fastball,89.42900090909092,18.82419116883117,-6.981368831,6.0820588311688315,-1.17287987,6.236194545454546,158.3787687142857,2142.148848831169,-5.518723013,0.725600026,Left,Left
"Sofield, Drew",Slider,84.86755111111111,8.129723333333333,-0.018637778,5.983108888888889,-1.658064444,5.741108888888889,183.44552344444443,2311.1408144444445,-7.007726667,1.8718543333333335,Left,Left
"Tilly, Cameron",Curveball,76.00198,-14.05266529,-14.07111235,6.106924705882353,1.4944076470588235,5.063107058823529,41.38409794117647,2851.340305,-9.767391118,-2.634131412,Right,Left
"Tilly, Cameron",Fastball,91.55476703,19.74525031,11.26540922,6.14669125,1.562475313,5.605123281,211.0799782,2374.063918,-5.313755875,-0.960268609,Right,Left
"Tilly, Cameron",FourSeamFastBall,91.39183612903226,19.57363612903226,11.53878129032258,6.122821612903226,1.4902832258064516,5.734755161290322,212.009427,2354.6898844193547,-5.311703097,-0.112230452,Right,Left
"Tilly, Cameron",Slider,80.18818093750001,-3.78249375,-15.07821266,5.9229975,1.858469375,5.33283375,70.9588095,2869.234989953125,-8.530517391,-3.745959609,Right,Left
"Tilly, Cameron",Splitter,83.50269243902439,-0.864562683,5.770664146341463,6.063952195121951,1.5770143902439024,5.488981219512195,268.3954682682927,1919.217339512195,-9.10551939,-1.756201634,Right,Left
"Watts, Dylan",ChangeUp,84.67197933333334,11.502801333333334,16.22972,6.133083333333333,1.3935373333333334,5.510326,237.39015773333333,1682.8711214666666,-7.270973867,0.11336653333333335,Right,Left
"Watts, Dylan",Fastball,92.30628906976744,17.99814046511628,9.666939535,6.314899534883721,1.311523953488372,5.415310465116279,209.65164644186044,2186.863339690476,-5.33532893,-0.557473395,Right,Left
"Watts, Dylan",FourSeamFastBall,92.3993046,17.540284,8.9044846,6.3083546,1.2806888,5.5977418,208.0786916,2232.222211,-5.09786696,-0.60050576,Right,Left
"Watts, Dylan",Sinker,91.39256196721311,10.752454918032788,16.48994655737705,6.164472786885247,1.461717704918033,5.479799016393443,239.62439895081968,2075.1658201639343,-6.202975393,0.4679999180327869,Right,Left
"Watts, Dylan",Slider,83.84376628205128,4.224566025641026,-3.974516923,6.325251794871795,1.180139358974359,5.215024743589743,127.94779835897435,2109.6080287012987,-7.876880077,-2.170875795,Right,Left
